drug_name,chembl_id
nilutamide,CHEMBL1274
ropivacaine,CHEMBL1077896
penciclovir,CHEMBL1540
zafirlukast,CHEMBL603
pentosan polysulfate,
olanzapine,CHEMBL715
butenafine,CHEMBL990
betaine,CHEMBL95889
acitretin,CHEMBL1131
reteplase,CHEMBL2107885
azelastine,CHEMBL639
ivermectin,CHEMBL6067487
donepezil,CHEMBL502
tizanidine,CHEMBL1079
ferumoxsil,CHEMBL1201503
zileuton,CHEMBL93
atorvastatin,CHEMBL1487
amlexanox,CHEMBL1096
miglitol,CHEMBL1561
olopatadine,CHEMBL1189432
sparfloxacin,CHEMBL850
fosfomycin,CHEMBL1757
levofloxacin,CHEMBL5315124
glatiramer acetate,CHEMBL1201507
cabergoline,CHEMBL1201087
valsartan,CHEMBL1069
topiramate,CHEMBL220492
troglitazone,CHEMBL408
sulesomab,CHEMBL2108809
imiquimod,CHEMBL1282
tiludronic acid,CHEMBL1350
anagrelide,CHEMBL760
nelfinavir,CHEMBL584
samarium (153Sm) lexidronam,
delavirdine,CHEMBL593
tamsulosin,CHEMBL836
toremifene,CHEMBL1655
tazarotene,CHEMBL1657
dimethicone,CHEMBL2108200
cerivastatin,CHEMBL1477
pramipexole,CHEMBL301265
sodium fluoride,CHEMBL1528
epoetin beta,CHEMBL2109092
letrozole,CHEMBL1444
mibefradil,CHEMBL45816
irbesartan,CHEMBL1513
nonacog alfa,
dolasetron,CHEMBL2368925
arbutamine,CHEMBL1201251
ropinirole,CHEMBL589
fenoldopam,CHEMBL588
quetiapine,CHEMBL716
tiagabine,CHEMBL1027
grepafloxacin,CHEMBL583
clopidogrel,CHEMBL1771
sibutramine,CHEMBL1419
oprelvekin,CHEMBL1201573
zolmitriptan,CHEMBL1185
rituximab,CHEMBL1201576
mangafodipir,CHEMBL1201301
cefdinir,CHEMBL927
fomepizole,CHEMBL1308
raloxifene,CHEMBL81
daclizumab,CHEMBL1201605
becaplermin,CHEMBL1201556
trovafloxacin,CHEMBL428
alatrofloxacin,CHEMBL1201197
repaglinide,CHEMBL1272
eprosartan,CHEMBL813
emedastine,CHEMBL594
tolcapone,CHEMBL1324
naratriptan,CHEMBL1278
montelukast,CHEMBL787
lepirudin,CHEMBL1201666
loteprednol etabonate,CHEMBL1200865
tolterodine,CHEMBL1382
risedronic acid,CHEMBL923
sildenafil,CHEMBL192
brinzolamide,CHEMBL220491
sacrosidase,CHEMBL1201487
paricalcitol,CHEMBL1200622
capecitabine,CHEMBL1773
rivastigmine,CHEMBL636
basiliximab,CHEMBL1201439
tirofiban,CHEMBL916
eptifibatide,CHEMBL1174
candesartan cilexetil,CHEMBL1014
palivizumab,CHEMBL1201586
rifapentine,CHEMBL1660
rizatriptan,CHEMBL905
calfactant,CHEMBL1201447
thalidomide,CHEMBL468
citalopram,CHEMBL549
infliximab,CHEMBL1201581
fomivirsen,CHEMBL1201688
leflunomide,CHEMBL960
efavirenz,CHEMBL223228
trastuzumab,CHEMBL1201585
valrubicin,CHEMBL1096885
sevelamer,CHEMBL5314349
etanercept,CHEMBL1201572
telmisartan,CHEMBL1017
abacavir,CHEMBL1380
modafinil,CHEMBL1373
celecoxib,CHEMBL118
cilostazol,CHEMBL799
temozolomide,CHEMBL810
alitretinoin,CHEMBL705
denileukin diftitox,CHEMBL1201550
ferrous gluconate,CHEMBL3833303
levosalbutamol,CHEMBL1002
cetrorelix,CHEMBL1200490
moroctocog alfa,CHEMBL2109137
tasonermin,CHEMBL2107891
amprenavir,CHEMBL116
orlistat,CHEMBL175247
rofecoxib,CHEMBL122
rosiglitazone,CHEMBL121
doxercalciferol,CHEMBL1200810
ketotifen,CHEMBL534
pioglitazone,CHEMBL595
zanamivir,CHEMBL222813
ganirelix,CHEMBL1251
levobupivacaine,CHEMBL1201193
zaleplon,CHEMBL1521
rapacuronium,CHEMBL1201352
rabeprazole,CHEMBL1219
deferiprone,CHEMBL70927
insulin aspart,CHEMBL1201496
sirolimus,CHEMBL413
epirubicin,CHEMBL417
quinupristin,CHEMBL1200649
dalfopristin,CHEMBL1200937
pemirolast,CHEMBL1201198
dofetilide,CHEMBL473
entacapone,CHEMBL953
exemestane,CHEMBL1200374
oseltamivir,CHEMBL1229
poractant alfa,CHEMBL1201622
levetiracetam,CHEMBL1286
aminolevulinic acid,CHEMBL601
gadoversetamide,CHEMBL1200457
moxifloxacin,CHEMBL32
mequinol,CHEMBL544
dexmedetomidine,CHEMBL778
nitric oxide,CHEMBL1200689
bexarotene,CHEMBL1023
cevimeline,CHEMBL168815
oxcarbazepine,CHEMBL1068
atosiban,CHEMBL382301
pantoprazole,CHEMBL1502
alosetron,CHEMBL1110
levobetaxolol,CHEMBL1201274
pyrethrins,
piperonyl butoxide,CHEMBL1201131
zonisamide,CHEMBL750
articaine,CHEMBL1093
verteporfin,CHEMBL5314346
meloxicam,CHEMBL599
linezolid,CHEMBL126
insulin glargine,CHEMBL1201497
gemtuzumab ozogamicin,CHEMBL1201506
phytomenadione,
colecalciferol,
colesevelam,CHEMBL6068331
tenecteplase,CHEMBL2108791
triptorelin,CHEMBL1201334
argatroban,CHEMBL1166
proguanil,CHEMBL1377
balsalazide,CHEMBL1201346
docosanol,CHEMBL1200453
unoprostone isopropyl,CHEMBL1200661
levothyroxine,CHEMBL1624
lopinavir,CHEMBL729
choriogonadotropin alfa,CHEMBL1201464
"sodium phosphate, monobasic, monohydrate",
arsenic trioxide,CHEMBL5483015
mifepristone,CHEMBL1276308
phenylpropanolamine,CHEMBL61006
magnesium hydroxide,CHEMBL1200718
calcium carbonate,CHEMBL1200539
bivalirudin,CHEMBL5314348
nateglinide,CHEMBL783
peginterferon alfa-2b,CHEMBL1201561
caspofungin,CHEMBL1630575
ziprasidone,CHEMBL708
formoterol,CHEMBL1256786
esomeprazole,CHEMBL1201320
rasburicase,CHEMBL1201594
galantamine,CHEMBL659
travoprost,CHEMBL1200799
bimatoprost,CHEMBL1200963
zoledronic acid,CHEMBL4303669
valganciclovir,CHEMBL1201314
alemtuzumab,CHEMBL1201587
almotriptan,CHEMBL1505
imatinib,CHEMBL941
eptotermin alfa,CHEMBL2108594
phenazopyridine,CHEMBL1242
perflutren,CHEMBL1663
agalsidase beta,CHEMBL2108888
agalsidase alfa,CHEMBL2108214
nesiritide,CHEMBL1201668
cefditoren pivoxil,CHEMBL454446
darbepoetin alfa,CHEMBL1201566
etonogestrel,CHEMBL1531
temoporfin,CHEMBL500576
tenofovir disoproxil,CHEMBL1538
frovatriptan,CHEMBL1279
dexmethylphenidate,CHEMBL827
anakinra,CHEMBL1201570
valdecoxib,CHEMBL865
norelgestromin,CHEMBL1200807
bosentan,CHEMBL957
dutasteride,CHEMBL1200969
ertapenem,CHEMBL1359
fondaparinux,CHEMBL1201202
pimecrolimus,CHEMBL1200686
desloratadine,CHEMBL1172
hydroquinone,CHEMBL537
nitisinone,CHEMBL1337
pegfilgrastim,CHEMBL1201568
ibritumomab tiuxetan,CHEMBL1201606
voriconazole,CHEMBL638
parecoxib,CHEMBL1206690
secretin human,
fulvestrant,CHEMBL1358
olmesartan medoxomil,CHEMBL1200692
memantine,CHEMBL807
treprostinil,CHEMBL1237119
guaifenesin,CHEMBL980
sodium oxybate,CHEMBL1200682
tegaserod,CHEMBL76370
oxaliplatin,CHEMBL414804
escitalopram,CHEMBL1508
dibotermin alfa,CHEMBL2109171
adefovir dipivoxil,CHEMBL922
eplerenone,CHEMBL1095097
peginterferon alfa-2a,CHEMBL1201560
ezetimibe,CHEMBL1138
pegvisomant,CHEMBL1201515
aripiprazole,CHEMBL1112
miglustat,CHEMBL1029
nitazoxanide,CHEMBL1401
teriparatide,CHEMBL525610
atomoxetine,CHEMBL641
eletriptan,CHEMBL1510
adalimumab,CHEMBL1201580
alefacept,CHEMBL1201571
enfuvirtide,CHEMBL525076
estradiol acetate,CHEMBL1200430
aprepitant,CHEMBL1471
fosaprepitant,CHEMBL1199324
gatifloxacin,CHEMBL31
gemifloxacin,CHEMBL430
desirudin,CHEMBL1201662
laronidase,CHEMBL1201595
gefitinib,CHEMBL939
bortezomib,CHEMBL325041
alfuzosin,CHEMBL709
omalizumab,CHEMBL1201589
atazanavir,CHEMBL1163
emtricitabine,CHEMBL885
palonosetron,CHEMBL1189679
rosuvastatin,CHEMBL1496
vardenafil,CHEMBL1520
daptomycin,CHEMBL387675
prussian blue,
epinastine,CHEMBL1106
fosamprenavir,CHEMBL1664
efalizumab,CHEMBL1201575
tadalafil,CHEMBL779
abarelix,CHEMBL1252
sertaconazole,CHEMBL1201196
tiotropium bromide,CHEMBL3545181
pemetrexed,CHEMBL225072
cetuximab,CHEMBL1201577
bevacizumab,CHEMBL1201583
mycophenolic acid,CHEMBL866
octocog alfa,CHEMBL4297873
cinacalcet,CHEMBL1201284
telithromycin,CHEMBL1136
insulin glulisine,CHEMBL1201613
apomorphine,CHEMBL53
bisacodyl,CHEMBL942
tinidazole,CHEMBL1220
azacitidine,CHEMBL1489
rifaximin,CHEMBL1617
trospium,CHEMBL1888176
insulin detemir,CHEMBL2104391
glutamine,CHEMBL930
pregabalin,CHEMBL1059
methyl aminolevulinate,CHEMBL1096562
acamprosate,CHEMBL1201293
duloxetine,CHEMBL1175
pentetate calcium trisodium,CHEMBL1200945
pentetate zinc trisodium,CHEMBL1200424
strontium ranelate,CHEMBL3707306
darifenacin,CHEMBL1346
lanthanum carbonate,CHEMBL2096647
erlotinib,CHEMBL553
solifenacin,CHEMBL1734
natalizumab,CHEMBL1201607
palifermin,CHEMBL1201821
eszopiclone,CHEMBL1522
zopiclone,CHEMBL135400
pegaptanib,
ziconotide,CHEMBL4594214
clofarabine,CHEMBL1750
iloprost,CHEMBL494
rasagiline,CHEMBL887
micafungin,CHEMBL457547
pramlintide,CHEMBL2103758
bromfenac,CHEMBL1077
entecavir,CHEMBL5314362
exenatide,CHEMBL414357
galsulfase,CHEMBL1201822
tigecycline,CHEMBL376140
tipranavir,CHEMBL222559
tetracaine,CHEMBL698
ramelteon,CHEMBL1218
quinine,CHEMBL170
nepafenac,CHEMBL1021
mecasermin,CHEMBL1201716
ivabradine,CHEMBL471737
nelarabine,CHEMBL1201112
deferasirox,CHEMBL550348
mecasermin rinfabate,CHEMBL1201717
sorafenib,CHEMBL1336
abatacept,CHEMBL1201823
lenalidomide,CHEMBL848
conivaptan,CHEMBL1755
sunitinib,CHEMBL535
ranolazine,CHEMBL1404
lubiprostone,CHEMBL1201134
zinc oxide,CHEMBL3988900
anidulafungin,CHEMBL264241
alglucosidase alfa,CHEMBL1201824
decitabine,CHEMBL1201129
varenicline,CHEMBL1076903
rimonabant,CHEMBL111
darunavir,CHEMBL1323
dasatinib,CHEMBL5416410
ranibizumab,CHEMBL1201825
idursulfase,CHEMBL1201826
sitaxentan,CHEMBL282724
posaconazole,CHEMBL1397
panitumumab,CHEMBL1201827
bismuth subcitrate,CHEMBL1744033
arformoterol,CHEMBL1363
vorinostat,CHEMBL98
sitagliptin,CHEMBL1422
ciclesonide,CHEMBL2040682
telbivudine,CHEMBL374731
sinecatechins,CHEMBL1201723
paliperidone,CHEMBL1621
stiripentol,CHEMBL1983350
rufinamide,CHEMBL1201754
lisdexamfetamine,CHEMBL1201222
aliskiren,CHEMBL1639
lapatinib,CHEMBL554
eculizumab,CHEMBL1201828
retapamulin,CHEMBL1658
fesoterodine,CHEMBL1201764
fluticasone furoate,CHEMBL1676
rotigotine,CHEMBL1303
levocetirizine,CHEMBL1201191
temsirolimus,CHEMBL1201182
armodafinil,CHEMBL1201192
ambrisentan,CHEMBL1111
melatonin,CHEMBL45
methoxy polyethylene glycol-epoetin beta,CHEMBL3707314
maraviroc,CHEMBL256907
AMMONIA N-13,
lanreotide,CHEMBL1201185
trabectedin,CHEMBL450449
vildagliptin,CHEMBL142703
doripenem,CHEMBL491571
raltegravir,CHEMBL254316
ixabepilone,CHEMBL1201752
sevelamer carbonate,CHEMBL5314347
nilotinib,CHEMBL255863
sapropterin,CHEMBL1201774
nebivolol,CHEMBL434394
epoetin zeta,CHEMBL2108593
etravirine,CHEMBL308954
methyl salicylate,CHEMBL108545
rilonacept,CHEMBL1201830
desvenlafaxine,CHEMBL1118
levofolinic acid,
dabigatran etexilate,CHEMBL539697
bendamustine,CHEMBL487253
regadenoson,CHEMBL3989695
certolizumab pegol,CHEMBL1201831
methylnaltrexone,CHEMBL1186579
alvimopan,CHEMBL270190
difluprednate,CHEMBL1201749
icatibant,CHEMBL2028850
sugammadex,CHEMBL2111107
clevidipine,CHEMBL1237132
tetrabenazine,CHEMBL117785
romiplostim,CHEMBL1201832
lacosamide,CHEMBL58323
rivaroxaban,CHEMBL198362
silodosin,CHEMBL24778
eltrombopag,CHEMBL461101
tapentadol,CHEMBL1201776
fospropofol,CHEMBL1201766
plerixafor,CHEMBL18442
choline fenofibrate,CHEMBL1201745
degarelix,CHEMBL415606
ustekinumab,CHEMBL1201835
milnacipran,CHEMBL259209
tocilizumab,CHEMBL1237022
dexlansoprazole,CHEMBL1201863
febuxostat,CHEMBL1164729
agomelatine,CHEMBL10878
prasugrel,CHEMBL1201772
lasofoxifene,CHEMBL328190
mifamurtide,CHEMBL2107354
everolimus,CHEMBL1908360
artemether,CHEMBL566534
lumefantrine,CHEMBL38827
benzyl alcohol,CHEMBL720
golimumab,CHEMBL1201833
iloperidone,CHEMBL14376
ulipristal,CHEMBL2103846
tolvaptan,CHEMBL344159
besifloxacin,CHEMBL1201760
canakinumab,CHEMBL1201834
liraglutide,CHEMBL4084119
ferumoxytol,CHEMBL1201867
dronedarone,CHEMBL184412
saxagliptin,CHEMBL2103745
paliperidone palmitate,CHEMBL2107360
pitavastatin,CHEMBL1201753
asenapine,CHEMBL3187365
vigabatrin,CHEMBL89598
bepotastine,CHEMBL1201758
telavancin,CHEMBL507870
pralatrexate,CHEMBL1201746
prucalopride,CHEMBL117287
pazopanib,CHEMBL477772
ofatumumab,CHEMBL1201836
epoetin theta,CHEMBL2108290
tenofovir,CHEMBL3989702
romidepsin,CHEMBL343448
capsaicin,CHEMBL294199
ecallantide,CHEMBL1201837
indacaterol,CHEMBL1095777
amifampridine,CHEMBL354077
besilesomab,CHEMBL2108021
fampridine,
corifollitropin alfa,CHEMBL2108185
velaglucerase alfa,CHEMBL1201865
carglumic acid,CHEMBL1201780
polidocanol,CHEMBL6067961
dienogest,CHEMBL1201864
denosumab,CHEMBL1237023
cabazitaxel,CHEMBL1201748
alcaftadine,CHEMBL1201747
vernakalant,CHEMBL2111112
pegloticase,CHEMBL1237025
fingolimod,CHEMBL314854
levomefolic acid,CHEMBL1231574
lurasidone,CHEMBL1237021
conestat alfa,CHEMBL2108350
ceftaroline fosamil,CHEMBL501122
tesamorelin,CHEMBL1237026
eribulin,CHEMBL1683590
Ioflupane I-123,
sodium nitrite,CHEMBL93268
spinosad,CHEMBL4297065
vilazodone,CHEMBL439849
azilsartan medoxomil,CHEMBL2028661
roflumilast,CHEMBL193240
pirfenidone,CHEMBL1256391
belimumab,CHEMBL1789843
gimeracil,CHEMBL1730601
tegafur,CHEMBL20883
gadobutrol,CHEMBL2218860
oteracil,CHEMBL181932
ipilimumab,CHEMBL1789844
retigabine,
gabapentin enacarbil,CHEMBL1628502
vandetanib,CHEMBL24828
abiraterone acetate,CHEMBL271227
linagliptin,CHEMBL237500
boceprevir,CHEMBL218394
apixaban,CHEMBL231779
rilpivirine,CHEMBL175691
telaprevir,CHEMBL231813
fidaxomicin,CHEMBL1255800
belatacept,CHEMBL1742990
ticagrelor,CHEMBL398435
nomegestrol acetate,CHEMBL1476022
vemurafenib,CHEMBL1229517
brentuximab vedotin,CHEMBL1742994
crizotinib,CHEMBL601719
clobazam,CHEMBL70418
artenimol,CHEMBL307261
piperaquine,CHEMBL303933
tafamidis,CHEMBL2103837
ruxolitinib,CHEMBL1789941
aflibercept,CHEMBL1742982
crisantaspase,CHEMBL2108931
glucarpidase,CHEMBL1863515
ingenol mebutate,CHEMBL1863513
axitinib,CHEMBL1289926
vismodegib,CHEMBL473417
ivacaftor,CHEMBL2010601
tafluprost,CHEMBL1963683
lucinactant,CHEMBL1963685
peginesatide,CHEMBL2107866
Florbetapir F-18,
avanafil,CHEMBL1963681
taliglucerase alfa,CHEMBL1964120
pixantrone,CHEMBL167731
pertuzumab,CHEMBL2007641
lorcaserin,CHEMBL360328
mirabegron,CHEMBL2095212
prepopik,
sodium picosulfate,CHEMBL1697768
carfilzomib,CHEMBL451887
aclidinium bromide,CHEMBL551466
perampanel,CHEMBL1214124
icosapent ethyl,CHEMBL2095209
cobicistat,CHEMBL2095208
elvitegravir,CHEMBL204656
linaclotide,CHEMBL3301675
teduglutide,CHEMBL2104987
enzalutamide,CHEMBL1082407
catridecacog,CHEMBL2108282
bosutinib,CHEMBL288441
teriflunomide,CHEMBL973
regorafenib,CHEMBL1946170
ocriplasmin,CHEMBL2095222
alipogene tiparvovec,CHEMBL2108304
omacetaxine mepesuccinate,CHEMBL46286
tofacitinib,CHEMBL221959
dapagliflozin,CHEMBL429910
cabozantinib,CHEMBL2105717
ponatinib,CHEMBL1171837
raxibacumab,CHEMBL2108638
pasireotide,CHEMBL3349607
lomitapide,CHEMBL354541
bedaquiline,CHEMBL376488
crofelemer,CHEMBL2108184
insulin degludec,CHEMBL2107869
alogliptin,CHEMBL376359
mipomersen,CHEMBL2219536
lixisenatide,CHEMBL2108336
glycerol phenylbutyrate,CHEMBL2105745
pomalidomide,CHEMBL43452
trastuzumab emtansine,CHEMBL1743082
ospemifene,CHEMBL2105395
technetium Tc 99m tilmanocept,CHEMBL2108726
gadoterate meglumine,CHEMBL2219415
dimethyl fumarate,CHEMBL2107333
canagliflozin,CHEMBL4594217
vilanterol,CHEMBL1198857
radium Ra 223 dichloride,CHEMBL2107816
trametinib,CHEMBL2103875
dabrafenib,CHEMBL2028663
neostigmine,CHEMBL278020
maribavir,CHEMBL515408
afatinib,CHEMBL1173655
lipegfilgrastim,CHEMBL4594230
ferric carboxymaltose,CHEMBL2108597
levomilnacipran,CHEMBL99946
dolutegravir,CHEMBL1229211
cholic acid,CHEMBL205596
vortioxetine,CHEMBL2104993
bazedoxifene,CHEMBL46740
riociguat,CHEMBL2107834
macitentan,CHEMBL2103873
defibrotide,CHEMBL2108396
Flutemetamol (18F),
obinutuzumab,CHEMBL1743048
eslicarbazepine acetate,CHEMBL87992
ibrutinib,CHEMBL1873475
turoctocog alfa,CHEMBL2108286
luliconazole,CHEMBL2105689
delamanid,CHEMBL218650
simeprevir,CHEMBL501849
sucroferric oxyhydroxide,
sofosbuvir,CHEMBL1259059
umeclidinium,CHEMBL1187833
tasimelteon,CHEMBL2103822
elosulfase alfa,CHEMBL2108676
droxidopa,CHEMBL2103827
tenofovir alafenamide,CHEMBL2107825
metreleptin,CHEMBL2107857
testosterone undecanoate,CHEMBL2107067
miltefosine,CHEMBL125
florbetaben F18,CHEMBL566752
empagliflozin,CHEMBL2107830
apremilast,CHEMBL514800
albiglutide,CHEMBL2107841
ramucirumab,CHEMBL1743062
siltuximab,CHEMBL1743070
ceritinib,CHEMBL2403108
omega-3-carboxylic acids,CHEMBL3137327
vorapaxar,CHEMBL493982
vedolizumab,CHEMBL1743087
dalbavancin,CHEMBL3301669
efinaconazole,CHEMBL2103877
tedizolid phosphate,CHEMBL2105669
daclatasvir,CHEMBL2023898
belinostat,CHEMBL408513
tavaborole,CHEMBL443052
simoctocog alfa,CHEMBL2108319
idelalisib,CHEMBL2216870
ataluren,CHEMBL256997
olodaterol,CHEMBL605846
oritavancin,CHEMBL1688530
suvorexant,CHEMBL1083659
peginterferon beta-1a,CHEMBL2108677
eliglustat,CHEMBL2110588
sodium glycerophosphate,CHEMBL6067979
pembrolizumab,CHEMBL3137343
ferric citrate,CHEMBL3301597
naloxegol,CHEMBL2219418
dulaglutide,CHEMBL2108027
ledipasvir,CHEMBL2374220
netupitant,CHEMBL206253
nintedanib,CHEMBL502835
olaparib,CHEMBL521686
dasabuvir,CHEMBL3137312
ombitasvir,CHEMBL3127326
paritaprevir,CHEMBL3391662
blinatumomab,CHEMBL1742992
afamelanotide,CHEMBL441738
finafloxacin,CHEMBL1908370
safinamide,CHEMBL396778
ceftolozane,CHEMBL2103872
peramivir,CHEMBL3989402
nivolumab,CHEMBL2108738
edoxaban,CHEMBL1269025
secukinumab,CHEMBL1743068
parathyroid hormone,CHEMBL2108078
ferric pyrophosphate citrate,CHEMBL3833317
palbociclib,CHEMBL189963
lenvatinib,CHEMBL1289601
panobinostat,CHEMBL483254
avibactam,CHEMBL1689063
isavuconazonium,CHEMBL1183349
dinutuximab,CHEMBL3137342
cangrelor,CHEMBL334966
deoxycholic acid,CHEMBL406393
evolocumab,CHEMBL2364655
eluxadoline,CHEMBL2159122
lutetium (177Lu) chloride,
sonidegib,CHEMBL2105737
lumacaftor,CHEMBL2103870
sacubitril,CHEMBL3137301
brexpiprazole,CHEMBL2105760
alirocumab,CHEMBL2109540
flibanserin,CHEMBL231068
asfotase alfa,CHEMBL2108311
sebelipase alfa,CHEMBL3039537
rolapitant,CHEMBL3707331
uridine triacetate,CHEMBL2107381
idebenone,CHEMBL252556
cariprazine,CHEMBL2028019
tipiracil,CHEMBL235668
aripiprazole lauroxil,CHEMBL2219425
idarucizumab,CHEMBL3544996
patiromer calcium,CHEMBL2107840
talimogene laherparepvec,CHEMBL2108727
mepolizumab,CHEMBL2108429
cobimetinib,CHEMBL2146883
susoctocog alfa,CHEMBL5315075
osimertinib,CHEMBL3353410
daratumumab,CHEMBL1743007
efmoroctocog alfa,CHEMBL4297945
ixazomib,CHEMBL2141296
necitumumab,CHEMBL1743047
elotuzumab,CHEMBL1743010
vonicog alfa,CHEMBL2107873
alectinib,CHEMBL1738797
selexipag,CHEMBL238804
lesinurad,CHEMBL2105720
brivaracetam,CHEMBL607400
grazoprevir,CHEMBL3039533
elbasvir,CHEMBL3039514
ferric maltol,CHEMBL4298110
ixekizumab,CHEMBL1743034
obiltoxaximab,CHEMBL3544926
reslizumab,CHEMBL2107884
pitolisant,CHEMBL462605
venetoclax,CHEMBL3137309
pimavanserin,CHEMBL2111101
eftrenonacog alfa,CHEMBL4594598
atezolizumab,CHEMBL3707227
migalastat,CHEMBL110458
fluciclovine (18F),
obeticholic acid,CHEMBL566315
Gallium Ga 68 dotatate,
opicapone,CHEMBL1089318
velpatasvir,CHEMBL3545062
landiolol,CHEMBL1742466
lifitegrast,CHEMBL2048028
eteplirsen,CHEMBL2108278
olaratumab,CHEMBL1743049
bezlotoxumab,CHEMBL2108670
albutrepenonacog alfa,CHEMBL5315076
etelcalcetide,CHEMBL3545184
gallium (68Ga) edotreotide,
crisaborole,CHEMBL484785
rucaparib,CHEMBL1173055
nusinersen,CHEMBL3301572
lonoctocog alfa,CHEMBL4594603
plecanatide,CHEMBL2103867
deflazacort,CHEMBL1201891
baricitinib,CHEMBL2105759
brodalumab,CHEMBL1742996
telotristat ethyl,CHEMBL2105695
ribociclib,CHEMBL3545110
avelumab,CHEMBL3833373
naldemedine,CHEMBL2105755
niraparib,CHEMBL1094636
dupilumab,CHEMBL2108675
ocrelizumab,CHEMBL2108041
deutetrabenazine,CHEMBL3137326
valbenazine,CHEMBL2364639
cerliponase alfa,CHEMBL3544921
midostaurin,CHEMBL608533
brigatinib,CHEMBL3545311
abaloparatide,CHEMBL3301581
durvalumab,CHEMBL3301587
edaravone,CHEMBL290916
sarilumab,CHEMBL2108730
delafloxacin,CHEMBL2105637
betrixaban,CHEMBL512351
inotuzumab ozogamicin,CHEMBL2108611
cenegermin,CHEMBL4297852
guselkumab,CHEMBL2364648
neratinib,CHEMBL180022
voxilaprevir,CHEMBL3707372
pibrentasvir,CHEMBL3545123
glecaprevir,CHEMBL3545363
enasidenib,CHEMBL3989908
tivozanib,CHEMBL1289494
vaborbactam,CHEMBL3317857
benznidazole,CHEMBL110
copanlisib,CHEMBL3218576
secnidazole,CHEMBL498847
lutetium (177Lu) oxodotreotide,
abemaciclib,CHEMBL3301610
acalabrutinib,CHEMBL3707348
latanoprostene bunod,CHEMBL2364612
letermovir,CHEMBL1241951
padeliporfin,CHEMBL4594284
vestronidase alfa,CHEMBL3707382
emicizumab,CHEMBL3833393
benralizumab,CHEMBL1742991
semaglutide,CHEMBL2108724
ozenoxacin,CHEMBL3990047
netarsudil,CHEMBL4594250
ertugliflozin,CHEMBL1770248
burosumab,CHEMBL3707326
bictegravir,CHEMBL3989866
tezacaftor,CHEMBL3544914
apalutamide,CHEMBL3183409
ibalizumab,CHEMBL1743029
tildrakizumab,CHEMBL2108681
efgartigimod alfa,CHEMBL4297551
sodium zirconium cyclosilicate,CHEMBL3301592
velmanase,
polatuzumab vedotin,CHEMBL3301582
fostamatinib,CHEMBL2103830
fosnetupitant,CHEMBL3989917
andexanet alfa,CHEMBL3301583
lofexidine,CHEMBL17860
erenumab,CHEMBL3833329
avatrombopag,CHEMBL2103883
pegvaliase,CHEMBL4297802
moxidectin,CHEMBL2104415
cannabidiol,CHEMBL190461
plazomicin,CHEMBL1650559
binimetinib,CHEMBL3187723
encorafenib,CHEMBL3301612
inotersen ,
tecovirimat,CHEMBL1257073
tafenoquine,CHEMBL298470
ivosidenib,CHEMBL3989958
elagolix,CHEMBL1208155
lusutrombopag,CHEMBL2107831
mogamulizumab,CHEMBL1743041
lanadelumab,CHEMBL3545189
patisiran,CHEMBL3989987
eravacycline dihydrochloride,CHEMBL2219414
doravirine,CHEMBL2364608
caplacizumab,CHEMBL2109624
moxetumomab pasudotox,CHEMBL1743043
fremanezumab,CHEMBL4297756
lorlatinib,CHEMBL3286830
duvelisib,CHEMBL3039502
dacomitinib,CHEMBL2105719
galcanezumab,CHEMBL3707328
cemiplimab,CHEMBL4297723
sarecycline,CHEMBL2364632
omadacycline,CHEMBL1689772
elapegademase,CHEMBL3990026
talazoparib tosylate,CHEMBL3137318
baloxavir marboxil,CHEMBL4297503
revefenacin,CHEMBL3833319
rifamycin,CHEMBL437765
setmelanotide,CHEMBL3301624
emapalumab,CHEMBL3989977
glasdegib,CHEMBL2043437
larotrectinib,CHEMBL3889654
gilteritinib,CHEMBL3301622
calaspargase pegol,CHEMBL2108728
ravulizumab,CHEMBL3989986
tagraxofusp,CHEMBL4297573
prabotulinumtoxinA,
triclabendazole,CHEMBL1086440
ropeginterferon alfa-2b,CHEMBL4297819
brexanolone,CHEMBL207538
solriamfetol,CHEMBL4297620
siponimod,CHEMBL2336071
romosozumab,CHEMBL2107874
erdafitinib,CHEMBL3545376
risankizumab,CHEMBL3990029
alpelisib,CHEMBL2396661
sotagliflozin,CHEMBL3039507
esketamine,CHEMBL395091
volanesorsen,CHEMBL3544994
drospirenone,CHEMBL1509
onasemnogene abeparvovec,CHEMBL4297240
relebactam,CHEMBL3301605
turoctocog alfa pegol,CHEMBL5315071
treosulfan,CHEMBL455186
bremelanotide,CHEMBL2070241
infigratinib,CHEMBL1852688
selinexor,CHEMBL3545185
lysine,CHEMBL8085
darolutamide,CHEMBL4297185
pexidartinib,CHEMBL3813873
pretomanid,CHEMBL227875
entrectinib,CHEMBL1983268
upadacitinib,CHEMBL3622821
fedratinib,CHEMBL1287853
lefamulin,CHEMBL3291398
istradefylline,CHEMBL431770
tenapanor,CHEMBL3304485
botulinum toxin type A,CHEMBL4297862
trifarotene,CHEMBL3707313
brolucizumab,CHEMBL3707357
elexacaftor,CHEMBL4298128
fluorodopa (18F),
diroximel fumarate,CHEMBL3989944
air polymer-type A,CHEMBL4594264
luspatercept,CHEMBL3039545
lasmiditan,CHEMBL3039520
cefiderocol,CHEMBL3989974
zanubrutinib,CHEMBL3936761
crizanlizumab,CHEMBL4297734
givosiran,CHEMBL4297760
cenobamate,CHEMBL3989949
voxelotor,CHEMBL4101807
